epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5678.52,0.76511,0.61334,1.17645,0.88444,0.73567,0.83424,0.55491,1.24958,0.91064,1.66383,0.000608468,0.000608468,0.000608468
60,5761.8,0.75317,0.58902,1.15878,0.85193,0.73875,0.8177,0.53134,1.31839,1.00123,1.73915,0.000594321,0.000594321,0.000594321
61,5845.09,0.744,0.59513,1.16512,0.80968,0.79084,0.82514,0.55273,1.24295,0.90307,1.71935,0.000580174,0.000580174,0.000580174
62,7643.78,0.74079,0.5875,1.16002,0.84281,0.72856,0.8051,0.53399,1.28646,0.98634,1.73528,0.000566027,0.000566027,0.000566027
63,7728.25,0.73181,0.55922,1.14989,0.81731,0.7501,0.82314,0.546,1.2403,0.92583,1.69004,0.00055188,0.00055188,0.00055188
64,7812.72,0.72965,0.56267,1.14631,0.86133,0.75014,0.82451,0.5373,1.26931,0.9097,1.74865,0.000537733,0.000537733,0.000537733
65,7896.64,0.71981,0.55838,1.14986,0.86764,0.71831,0.78696,0.52947,1.24752,1.0104,1.6982,0.000523586,0.000523586,0.000523586
66,7980.08,0.71664,0.55385,1.14247,0.81654,0.79341,0.82919,0.55406,1.24041,0.87108,1.70753,0.000509438,0.000509438,0.000509438
67,8063.48,0.70122,0.54843,1.13872,0.82507,0.75025,0.81086,0.54358,1.25738,0.97026,1.69783,0.000495291,0.000495291,0.000495291
68,8146.76,0.70845,0.54969,1.13357,0.82715,0.76839,0.83034,0.55208,1.2569,0.90612,1.71015,0.000481144,0.000481144,0.000481144
69,8230.12,0.69336,0.52536,1.12822,0.8756,0.77285,0.83835,0.55279,1.2518,0.85741,1.72894,0.000466997,0.000466997,0.000466997
70,8690.78,0.68737,0.53079,1.12351,0.87269,0.75112,0.82826,0.5499,1.27978,0.9426,1.72588,0.00045285,0.00045285,0.00045285
71,8775.53,0.66841,0.50998,1.11047,0.85635,0.78823,0.8453,0.5579,1.2584,0.82812,1.7591,0.000438703,0.000438703,0.000438703
72,8859.29,0.6812,0.52137,1.12221,0.83311,0.78197,0.82326,0.5549,1.2455,0.92144,1.71916,0.000424556,0.000424556,0.000424556
73,8943.06,0.66656,0.50574,1.10963,0.85229,0.74223,0.78919,0.53247,1.2864,0.97939,1.73514,0.000410409,0.000410409,0.000410409
74,9026.94,0.65858,0.5081,1.10954,0.83662,0.7447,0.80665,0.53899,1.26353,0.93211,1.74559,0.000396262,0.000396262,0.000396262
